Input_FlowID,Input_layer,Input_layer_key,Output_FlowID,TC_target_layer,TC_target_key,value,value_min,value_max,is_residual,process,technology,source
F_collected,product,BEV,F_dismantled,component,Motors,0.85,0.7,0.95,,dismantling,manual,"PLACEHOLDER (Claude, not data) -- replace: traction motors come out as units"
F_collected,product,BEV,F_dismantled,component,Wiring,0.3,0.15,0.5,,dismantling,manual,"PLACEHOLDER (Claude, not data) -- replace: bulky and copper-rich so worth pulling, but harnesses are threaded through the body and much stays in the hulk"
F_collected,product,BEV,F_separated_electronics,component,Motors,0.0,0.0,0.0,,dismantling,manual,decision: route does not apply
F_collected,product,BEV,F_separated_electronics,component,Wiring,0.0,0.0,0.0,,dismantling,manual,decision: this route does not apply here
F_collected,product,BEV,F_shredded,component,Motors,0.12,,,1,dismantling,manual,derived: stays in the hulk
F_collected,product,BEV,F_shredded,component,Wiring,0.65,,,1,dismantling,manual,derived: what is neither removed nor lost stays in the hulk
F_collected,product,BEV,F_loss_dismantling,component,Motors,0.03,0.01,0.05,,dismantling,manual,"PLACEHOLDER (Claude, not data) -- replace: losses during dismantling"
F_collected,product,BEV,F_loss_dismantling,component,Wiring,0.05,0.02,0.1,,dismantling,manual,"PLACEHOLDER (Claude, not data) -- replace: losses during dismantling"
F_dismantled,material,Motors_mixed,F_refined,element,Al,0.1,0.02,0.3,,refining,pyro,"PLACEHOLDER (Claude, not data) -- replace: aluminium oxidises to slag in a pyro route"
F_dismantled,material,Motors_mixed,F_refined,element,Co,0.85,0.7,0.95,,refining,pyro,"PLACEHOLDER (Claude, not data) -- replace: reports to the copper matte"
F_dismantled,material,Motors_mixed,F_refined,element,Cu,0.9,0.8,0.96,,refining,pyro,"PLACEHOLDER (Claude, not data) -- replace: winding copper, bound up with steel and magnets"
F_dismantled,material,Motors_mixed,F_refined,element,Dy,0.1,0.0,0.6,,refining,pyro,"PLACEHOLDER (Claude, not data) -- replace: follows Nd"
F_dismantled,material,Motors_mixed,F_refined,element,Ga,0.05,0.0,0.2,,refining,pyro,"PLACEHOLDER (Claude, not data) -- replace: trace metal, incidental recovery"
F_dismantled,material,Motors_mixed,F_refined,element,Nb,0.05,0.0,0.2,,refining,pyro,"PLACEHOLDER (Claude, not data) -- replace: trace metal, incidental recovery"
F_dismantled,material,Motors_mixed,F_refined,element,Nd,0.1,0.0,0.6,,refining,pyro,"PLACEHOLDER (Claude, not data) -- replace: copper smelter sends rare earths to slag; dedicated magnet recovery does not. The range spans both"
F_dismantled,material,Motors_mixed,F_refined,element,Pr,0.1,0.0,0.6,,refining,pyro,"PLACEHOLDER (Claude, not data) -- replace: follows Nd"
F_dismantled,material,Motors_mixed,F_refined,element,Tb,0.1,0.0,0.6,,refining,pyro,"PLACEHOLDER (Claude, not data) -- replace: follows Nd"
F_dismantled,material,Motors_mixed,F_refined,element,rest,0.0,0.0,0.0,,refining,pyro,decision: unspecified material is not recovered
F_dismantled,material,Wiring_mixed,F_refined,element,Cu,0.95,0.9,0.98,,refining,pyro,"PLACEHOLDER (Claude, not data) -- replace: clean harness copper into a copper smelter"
F_dismantled,material,Motors_mixed,F_loss_refining,element,Al,0.9,,,1,refining,pyro,derived: what is not recovered is lost
F_dismantled,material,Motors_mixed,F_loss_refining,element,Co,0.15,,,1,refining,pyro,derived: what is not recovered is lost
F_dismantled,material,Motors_mixed,F_loss_refining,element,Cu,0.1,,,1,refining,pyro,derived: what is not recovered is lost
F_dismantled,material,Motors_mixed,F_loss_refining,element,Dy,0.9,,,1,refining,pyro,derived: what is not recovered is lost
F_dismantled,material,Motors_mixed,F_loss_refining,element,Ga,0.95,,,1,refining,pyro,derived: what is not recovered is lost
F_dismantled,material,Motors_mixed,F_loss_refining,element,Nb,0.95,,,1,refining,pyro,derived: what is not recovered is lost
F_dismantled,material,Motors_mixed,F_loss_refining,element,Nd,0.9,,,1,refining,pyro,derived: what is not recovered is lost
F_dismantled,material,Motors_mixed,F_loss_refining,element,Pr,0.9,,,1,refining,pyro,derived: what is not recovered is lost
F_dismantled,material,Motors_mixed,F_loss_refining,element,Tb,0.9,,,1,refining,pyro,derived: what is not recovered is lost
F_dismantled,material,Motors_mixed,F_loss_refining,element,rest,1.0,1.0,1.0,,refining,pyro,decision: unspecified material is not recovered
F_dismantled,material,Wiring_mixed,F_loss_refining,element,Cu,0.05,,,1,refining,pyro,derived: what is not recovered is lost
F_shredded,material,Motors_mixed,F_recovered_shredder,element,Al,0.5,0.3,0.7,,shredding,hammer_mill,"PLACEHOLDER (Claude, not data) -- replace: aluminium separates reasonably well"
F_shredded,material,Motors_mixed,F_recovered_shredder,element,Co,0.15,0.05,0.35,,shredding,hammer_mill,"PLACEHOLDER (Claude, not data) -- replace: largely follows the ferrous fraction"
F_shredded,material,Motors_mixed,F_recovered_shredder,element,Cu,0.5,0.3,0.7,,shredding,hammer_mill,"PLACEHOLDER (Claude, not data) -- replace: more of it trapped with the ferrous fraction"
F_shredded,material,Motors_mixed,F_recovered_shredder,element,Dy,0.01,0.0,0.05,,shredding,hammer_mill,"PLACEHOLDER (Claude, not data) -- replace: follows Nd"
F_shredded,material,Motors_mixed,F_recovered_shredder,element,Ga,0.02,0.0,0.1,,shredding,hammer_mill,"PLACEHOLDER (Claude, not data) -- replace: trace metal in a shredded stream"
F_shredded,material,Motors_mixed,F_recovered_shredder,element,Nb,0.02,0.0,0.1,,shredding,hammer_mill,"PLACEHOLDER (Claude, not data) -- replace: trace metal in a shredded stream"
F_shredded,material,Motors_mixed,F_recovered_shredder,element,Nd,0.01,0.0,0.05,,shredding,hammer_mill,"PLACEHOLDER (Claude, not data) -- replace: a shredded magnet disperses and is lost"
F_shredded,material,Motors_mixed,F_recovered_shredder,element,Pr,0.01,0.0,0.05,,shredding,hammer_mill,"PLACEHOLDER (Claude, not data) -- replace: follows Nd"
F_shredded,material,Motors_mixed,F_recovered_shredder,element,Tb,0.01,0.0,0.05,,shredding,hammer_mill,"PLACEHOLDER (Claude, not data) -- replace: follows Nd"
F_shredded,material,Motors_mixed,F_recovered_shredder,element,rest,0.0,0.0,0.0,,shredding,hammer_mill,decision: unspecified material is not recovered
F_shredded,material,Wiring_mixed,F_recovered_shredder,element,Cu,0.55,0.35,0.75,,shredding,hammer_mill,"PLACEHOLDER (Claude, not data) -- replace: harness copper partly recovered from the non-ferrous fraction, partly lost to shredder residue"
F_shredded,material,Motors_mixed,F_loss_shredding,element,Al,0.5,,,1,shredding,hammer_mill,derived: what is not recovered is lost
F_shredded,material,Motors_mixed,F_loss_shredding,element,Co,0.85,,,1,shredding,hammer_mill,derived: what is not recovered is lost
F_shredded,material,Motors_mixed,F_loss_shredding,element,Cu,0.5,,,1,shredding,hammer_mill,derived: what is not recovered is lost
F_shredded,material,Motors_mixed,F_loss_shredding,element,Dy,0.99,,,1,shredding,hammer_mill,derived: what is not recovered is lost
F_shredded,material,Motors_mixed,F_loss_shredding,element,Ga,0.98,,,1,shredding,hammer_mill,derived: what is not recovered is lost
F_shredded,material,Motors_mixed,F_loss_shredding,element,Nb,0.98,,,1,shredding,hammer_mill,derived: what is not recovered is lost
F_shredded,material,Motors_mixed,F_loss_shredding,element,Nd,0.99,,,1,shredding,hammer_mill,derived: what is not recovered is lost
F_shredded,material,Motors_mixed,F_loss_shredding,element,Pr,0.99,,,1,shredding,hammer_mill,derived: what is not recovered is lost
F_shredded,material,Motors_mixed,F_loss_shredding,element,Tb,0.99,,,1,shredding,hammer_mill,derived: what is not recovered is lost
F_shredded,material,Motors_mixed,F_loss_shredding,element,rest,1.0,1.0,1.0,,shredding,hammer_mill,decision: unspecified material is not recovered
F_shredded,material,Wiring_mixed,F_loss_shredding,element,Cu,0.45,,,1,shredding,hammer_mill,derived: what is not recovered is lost
