Input_FlowID,Input_layer,Input_layer_key,Output_FlowID,TC_target_layer,TC_target_key,value,value_min,value_max,is_residual,process,technology,source
F_collected,Layer 1,BEV,F_dismantled,Layer 2,Motors,0.85,0.65,0.95,,dismantling,manual,"PLACEHOLDER (Claude, not data) -- a traction or auxiliary motor is a discrete, heavy, valuable part and a dismantler goes for it."
F_collected,Layer 1,BEV,F_dismantled,Layer 2,Wiring,0.3,0.1,0.4,,dismantling,manual,"PLACEHOLDER (Claude, not data) -- harness removal is slow manual work and most of it stays in the car."
F_collected,Layer 1,BEV,F_not_dismantled,Layer 2,Motors,0.15,0.1125,0.3625,,dismantling,manual,"PLACEHOLDER (Claude, not data) -- NOT AN INDEPENDENT MEASUREMENT: 1 - what is dismantled, widened. There is no loss here -- dismantling SORTS material, it does not destroy it -- so this is what stays in the car, and it goes to the shredder."
F_collected,Layer 1,BEV,F_not_dismantled,Layer 2,Wiring,0.7,0.525,0.775,,dismantling,manual,"PLACEHOLDER (Claude, not data) -- NOT AN INDEPENDENT MEASUREMENT: 1 - what is dismantled, widened. There is no loss here -- dismantling SORTS material, it does not destroy it -- so this is what stays in the car, and it goes to the shredder."
F_not_dismantled,Layer 1,BEV,F_shredded,Layer 2,Motors,1.0,,,,hulk_transfer,definitional,"DEFINITIONAL -- a component that was not dismantled is still in the car, and the car goes to the shredder. Not a coefficient and not uncertain."
F_not_dismantled,Layer 1,BEV,F_shredded,Layer 2,Wiring,1.0,,,,hulk_transfer,definitional,"DEFINITIONAL -- a component that was not dismantled is still in the car, and the car goes to the shredder. Not a coefficient and not uncertain."
F_dismantled,Layer 2,Motors,F_recovered_cu,Layer 3,alalloy,0.0,,,,separation,dedicated,"PLACEHOLDER (Claude, not data) -- alalloy does not report to this stream. A structural zero, not a measurement: the separator sends it elsewhere."
F_dismantled,Layer 2,Motors,F_recovered_cu,Layer 3,copper,0.95,0.75,1,,separation,dedicated,"PLACEHOLDER (Claude, not data) -- a harness or a winding handled on its own line granulates and separates cleanly. In a hulk the wire disperses and much of it reports to the ASR or contaminates the ferrous fraction."
F_dismantled,Layer 2,Wiring,F_recovered_cu,Layer 3,copper,0.95,0.75,1,,separation,dedicated,"PLACEHOLDER (Claude, not data) -- a harness or a winding handled on its own line granulates and separates cleanly. In a hulk the wire disperses and much of it reports to the ASR or contaminates the ferrous fraction."
F_dismantled,Layer 2,Motors,F_recovered_cu,Layer 3,fealloy,0.0,,,,separation,dedicated,"PLACEHOLDER (Claude, not data) -- fealloy does not report to this stream. A structural zero, not a measurement: the separator sends it elsewhere."
F_dismantled,Layer 2,Motors,F_recovered_cu,Layer 3,rest,0.0,0,0,,separation,dedicated,decision: unspecified material is not recovered
F_dismantled,Layer 2,Motors,F_recovered_al_alloy,Layer 3,alalloy,0.9,0.7,1,,separation,dedicated,"PLACEHOLDER (Claude, not data) -- eddy-current separation is reliable. What comes out is the ALLOY: the silicon, magnesium and copper alloyed into it stay in it and are not recovered separately."
F_dismantled,Layer 2,Motors,F_recovered_al_alloy,Layer 3,copper,0.0,,,,separation,dedicated,"PLACEHOLDER (Claude, not data) -- copper does not report to this stream. A structural zero, not a measurement: the separator sends it elsewhere."
F_dismantled,Layer 2,Wiring,F_recovered_al_alloy,Layer 3,copper,0.0,,,,separation,dedicated,"PLACEHOLDER (Claude, not data) -- copper does not report to this stream. A structural zero, not a measurement: the separator sends it elsewhere."
F_dismantled,Layer 2,Motors,F_recovered_al_alloy,Layer 3,fealloy,0.0,,,,separation,dedicated,"PLACEHOLDER (Claude, not data) -- fealloy does not report to this stream. A structural zero, not a measurement: the separator sends it elsewhere."
F_dismantled,Layer 2,Motors,F_recovered_al_alloy,Layer 3,rest,0.0,0,0,,separation,dedicated,decision: unspecified material is not recovered
F_dismantled,Layer 2,Motors,F_recovered_fe_alloy,Layer 3,alalloy,0.0,,,,separation,dedicated,"PLACEHOLDER (Claude, not data) -- alalloy does not report to this stream. A structural zero, not a measurement: the separator sends it elsewhere."
F_dismantled,Layer 2,Motors,F_recovered_fe_alloy,Layer 3,copper,0.0,,,,separation,dedicated,"PLACEHOLDER (Claude, not data) -- copper does not report to this stream. A structural zero, not a measurement: the separator sends it elsewhere."
